N,종목명,현재가,전일비,등락률,액면가,자산총계,영업이익,매출액증가율
1.0,삼성전자,58600.0,900.0,-1.51%,100.0,4266212.0,516339.0,18.07
2.0,LG에너지솔루션,487500.0,5500.0,+1.14%,500.0,237641.0,7685.0,1121.84
3.0,삼성바이오로직스,820000.0,1000.0,-0.12%,2500.0,79700.0,5373.0,34.62
4.0,SK하이닉스,78300.0,700.0,-0.89%,5000.0,963865.0,124103.0,34.79
5.0,LG화학,631000.0,2000.0,-0.32%,5000.0,511353.0,50255.0,41.9
6.0,삼성SDI,645000.0,2000.0,-0.31%,5000.0,258332.0,10676.0,20.0
7.0,삼성전자우,53600.0,300.0,-0.56%,100.0,,,
8.0,현대차,157000.0,2000.0,-1.26%,5000.0,2339464.0,66789.0,13.09
9.0,NAVER,180500.0,3000.0,-1.63%,100.0,336910.0,13255.0,28.53
10.0,기아,62400.0,0.0,0.00%,5000.0,668500.0,50657.0,18.07
11.0,셀트리온,177500.0,1500.0,-0.84%,1000.0,56741.0,7569.0,3.38
12.0,카카오,54300.0,1500.0,-2.69%,100.0,227796.0,5949.0,47.63
13.0,POSCO홀딩스,281000.0,500.0,-0.18%,5000.0,914716.0,92381.0,32.08
14.0,삼성물산,118000.0,2000.0,-1.67%,100.0,552454.0,11960.0,14.03
15.0,KB금융,52900.0,700.0,+1.34%,5000.0,6638958.0,60976.0,5.81
16.0,신한지주,37800.0,300.0,+0.80%,5000.0,6481522.0,59521.0,-1.12
17.0,현대모비스,202000.0,1000.0,-0.49%,5000.0,514825.0,20401.0,13.86
18.0,SK이노베이션,165000.0,3000.0,-1.79%,5000.0,495574.0,17542.0,35.58
19.0,SK,200500.0,2500.0,-1.23%,200.0,1653809.0,49355.0,21.66
20.0,삼성생명,73200.0,600.0,-0.81%,500.0,3413826.0,17010.0,1.58
21.0,포스코케미칼,188500.0,1000.0,-0.53%,500.0,39225.0,1217.0,27.03
22.0,LG전자,86100.0,800.0,-0.92%,5000.0,534815.0,38638.0,28.7
23.0,한국전력,21400.0,100.0,+0.47%,5000.0,2111089.0,-58601.0,3.42
24.0,KT&G,97600.0,700.0,+0.72%,5000.0,116373.0,13384.0,3.42
25.0,하나금융지주,44600.0,50.0,+0.11%,5000.0,5024453.0,46311.0,-13.56
26.0,LG,78800.0,800.0,-1.01%,5000.0,256698.0,24601.0,31.93
27.0,카카오뱅크,25900.0,0.0,0.00%,5000.0,360401.0,2569.0,32.43
28.0,고려아연,580000.0,7000.0,-1.19%,5000.0,99640.0,10961.0,31.59
29.0,LG생활건강,688000.0,2000.0,+0.29%,5000.0,75552.0,12896.0,3.15
30.0,SK텔레콤,48500.0,250.0,-0.51%,100.0,309113.0,13872.0,4.11
31.0,HMM,21650.0,900.0,-3.99%,5000.0,178761.0,73775.0,115.09
32.0,현대중공업,117500.0,1500.0,-1.26%,5000.0,150787.0,-8003.0,-0.01
33.0,삼성전기,137500.0,4000.0,-2.83%,5000.0,99414.0,14869.0,24.79
34.0,삼성화재,216000.0,1500.0,+0.70%,500.0,949340.0,15069.0,1.66
35.0,두산에너빌리티,15500.0,50.0,-0.32%,5000.0,237205.0,8779.0,23.03
36.0,S-Oil,86800.0,600.0,-0.69%,2500.0,186932.0,21409.0,63.19
37.0,엔씨소프트,438500.0,4000.0,-0.90%,500.0,45819.0,3752.0,-4.44
38.0,삼성에스디에스,123500.0,3000.0,-2.37%,500.0,105174.0,8081.0,23.71
39.0,우리금융지주,12950.0,50.0,+0.39%,5000.0,4471839.0,36597.0,-5.05
40.0,KT,35750.0,300.0,-0.83%,5000.0,371593.0,16718.0,4.1
41.0,한화솔루션,48650.0,50.0,-0.10%,5000.0,200076.0,7383.0,16.64
42.0,대한항공,24450.0,150.0,-0.61%,5000.0,266719.0,14180.0,18.48
43.0,크래프톤,179000.0,3500.0,-1.92%,100.0,56351.0,6396.0,12.92
44.0,기업은행,11100.0,50.0,+0.45%,5000.0,3980719.0,32313.0,-5.83
45.0,카카오페이,59600.0,2200.0,-3.56%,500.0,34327.0,-272.0,61.29
46.0,아모레퍼시픽,133000.0,1000.0,+0.76%,500.0,61167.0,3434.0,9.72
47.0,하이브,162500.0,4500.0,-2.69%,500.0,47289.0,1902.0,57.72
